Date,Total Crimes,Gun Crimes,Arson,Assault,Battery,Burglary,Criminal Damage,Criminal Sexual Assault,Criminal Trespass,Deceptive Practice,Homicide,Interference with Public Officer,Motor Vehicle Theft,Narcotics,Offense Involving Children,Other Offense,Public Peace Violation,Robbery,Sex Offense,Theft,Weapons Violation
1/1/20,782,70,0,56,231,20,102,16,20,40,0,3,16,30,8,60,3,21,5,108,41
1/2/20,622,46,0,38,99,25,66,4,23,42,4,5,23,30,8,43,2,20,2,167,19
1/3/20,676,44,1,56,128,26,52,3,26,47,1,4,21,50,3,56,1,20,4,150,24
1/4/20,626,35,3,41,143,29,66,4,21,29,2,7,22,38,4,32,3,34,2,130,13
1/5/20,614,61,4,46,125,28,60,2,14,28,2,3,25,44,7,48,2,37,0,117,19
1/6/20,685,45,3,55,117,32,66,7,16,60,0,4,16,47,8,34,3,27,2,167,21
1/7/20,612,31,0,51,107,25,57,1,19,62,0,2,13,35,4,38,4,15,2,158,17
1/8/20,639,37,1,53,109,30,71,4,14,38,0,4,17,35,7,55,9,24,2,151,13
1/9/20,617,37,2,46,88,24,54,4,21,51,0,4,24,35,6,46,4,24,3,156,19
1/10/20,612,22,1,43,112,28,42,4,23,49,3,3,29,34,10,33,2,20,2,160,11
1/11/20,555,33,2,51,98,24,45,4,19,36,0,2,27,43,4,36,3,22,1,125,14
1/12/20,570,31,1,36,115,20,71,1,15,38,1,3,21,30,5,31,0,24,1,144,11
1/13/20,643,39,2,62,101,22,68,5,9,58,0,1,22,36,3,54,3,25,4,152,16
1/14/20,649,39,1,55,104,22,49,3,26,49,2,3,22,44,5,54,5,16,6,169,12
1/15/20,630,36,1,53,106,29,51,3,19,60,2,4,25,35,11,36,6,15,4,151,18
1/16/20,667,31,2,53,118,23,75,3,18,39,2,3,24,35,5,60,0,21,5,165,7
1/17/20,576,31,0,44,102,17,56,5,16,38,1,3,28,39,6,28,2,20,3,153,12
1/18/20,558,38,0,50,115,15,46,7,13,32,3,2,16,37,1,41,1,28,4,134,8
1/19/20,499,34,0,40,114,11,43,1,13,19,1,5,32,30,2,38,2,11,1,120,17
1/20/20,606,43,0,47,106,20,49,6,11,33,0,5,27,52,3,49,5,22,2,151,16
1/21/20,579,30,0,44,95,23,45,4,20,42,1,3,23,37,4,52,1,21,4,148,9
1/22/20,624,36,0,61,128,26,50,6,18,47,1,4,22,36,16,44,1,27,7,116,11
1/23/20,579,32,0,48,105,25,36,3,25,38,1,4,12,52,7,37,5,31,4,136,9
1/24/20,647,36,0,49,99,22,62,4,22,47,1,4,19,29,13,49,8,23,1,171,20
1/25/20,654,44,0,43,129,27,48,3,14,55,1,4,16,44,7,52,6,25,4,141,22
1/26/20,603,39,1,44,128,16,50,10,22,36,1,4,23,32,6,42,1,26,4,126,20
1/27/20,687,41,0,53,132,23,56,4,14,62,1,4,23,38,8,59,3,14,4,171,18
1/28/20,677,41,0,46,121,28,53,5,19,47,3,4,19,47,11,48,5,39,1,159,18
1/29/20,612,27,0,52,89,27,55,3,23,45,1,7,13,42,9,47,6,20,5,155,11
1/30/20,603,32,1,49,96,21,68,3,19,37,0,4,25,47,7,46,3,25,2,140,9
1/31/20,687,47,0,48,127,24,66,3,21,51,0,8,23,45,8,45,6,30,3,162,15
2/1/20,736,44,1,54,139,26,81,8,18,62,1,6,28,32,5,43,7,22,3,176,21
2/2/20,649,46,2,49,174,19,80,2,8,24,2,3,20,32,3,37,3,27,0,144,17
2/3/20,722,43,1,55,118,31,81,5,27,43,1,2,26,48,11,43,1,25,3,176,23
2/4/20,629,41,0,54,113,24,60,2,13,38,1,6,19,51,10,52,4,22,4,134,17
2/5/20,618,21,0,46,106,23,39,6,17,47,0,3,29,40,5,42,2,19,1,181,8
2/6/20,543,26,0,37,98,20,46,2,15,40,1,3,17,36,5,40,4,24,3,141,7
2/7/20,679,37,2,58,119,22,58,4,23,54,2,5,16,47,8,53,2,23,4,161,17
2/8/20,619,50,1,42,124,15,66,5,16,36,4,5,33,29,7,43,1,22,3,140,24
2/9/20,552,37,5,32,130,30,49,7,16,26,4,6,21,31,4,31,3,23,1,119,13
2/10/20,611,37,0,44,113,24,54,3,19,47,0,4,23,35,16,50,2,27,4,130,15
2/11/20,614,26,2,44,116,20,49,4,31,47,0,2,22,36,7,45,8,22,1,135,15
2/12/20,617,38,1,66,84,31,53,2,19,47,1,6,16,34,7,46,2,21,6,160,11
2/13/20,539,27,0,42,94,17,63,6,19,46,1,1,21,33,4,41,0,21,2,120,9
2/14/20,579,24,0,44,106,18,51,7,8,53,1,1,26,26,11,38,3,20,4,154,8
2/15/20,585,31,2,42,123,14,72,5,18,33,0,2,24,27,8,40,1,17,3,139,14
2/16/20,613,51,1,40,142,15,59,2,21,42,3,2,28,30,5,41,2,26,4,121,26
2/17/20,593,36,3,47,112,16,70,4,19,34,1,8,20,37,3,44,4,19,4,130,16
2/18/20,649,24,0,52,136,23,58,3,20,54,0,4,21,32,10,40,3,16,3,166,8
2/19/20,570,42,2,49,105,26,46,3,21,42,1,6,24,30,9,29,1,27,4,129,18
2/20/20,578,36,2,36,89,14,53,5,10,43,1,6,27,39,5,57,1,21,1,148,16
2/21/20,644,35,1,55,103,28,60,4,13,35,2,8,18,49,9,38,3,33,5,157,15
2/22/20,670,58,2,52,151,18,76,4,17,31,3,4,12,40,4,43,3,23,6,149,28
2/23/20,651,64,0,55,143,21,82,3,20,28,2,6,20,35,10,33,6,27,2,126,30
2/24/20,581,31,0,34,106,20,49,3,25,31,1,1,26,37,4,47,5,18,0,158,13
2/25/20,501,23,0,43,99,19,48,2,24,34,1,0,15,32,8,36,3,18,4,109,7
2/26/20,587,26,2,55,105,21,59,5,16,52,2,5,27,47,10,40,2,17,5,106,8
2/27/20,555,38,0,52,96,21,43,4,19,42,0,2,21,37,3,43,2,16,4,125,20
2/28/20,642,35,1,53,115,21,64,2,26,46,0,5,29,41,13,36,5,20,3,142,16
2/29/20,573,36,1,48,115,14,60,2,17,36,0,4,20,37,7,39,3,21,1,129,18
