Date,Total Crimes,Gun Crimes,Arson,Assault,Battery,Burglary,Criminal Damage,Criminal Sexual Assault,Criminal Trespass,Deceptive Practice,Homicide,Interference with Public Officer,Motor Vehicle Theft,Narcotics,Offense Involving Children,Other Offense,Public Peace Violation,Robbery,Sex Offense,Theft,Weapons Violation
3/1/20,646,41,0,46,146,15,99,11,10,26,3,2,21,39,14,44,4,17,3,124,21
3/2/20,583,30,0,51,102,12,65,7,14,44,3,7,18,25,7,43,4,15,2,141,19
3/3/20,604,35,0,60,106,24,58,5,23,51,2,4,16,33,8,38,0,8,2,146,20
3/4/20,612,31,0,68,111,17,57,0,17,47,0,3,16,37,9,51,2,22,2,142,6
3/5/20,566,25,0,48,110,15,58,2,10,33,2,8,18,33,11,41,5,13,3,135,13
3/6/20,683,36,1,55,138,21,65,5,17,49,1,4,32,36,10,49,6,21,3,148,20
3/7/20,573,47,1,44,133,19,63,7,15,31,0,5,14,22,5,39,4,26,1,118,22
3/8/20,626,53,0,57,147,20,74,7,16,20,2,6,22,40,2,35,3,17,1,130,25
3/9/20,556,33,0,46,121,21,49,3,12,28,1,1,23,30,13,40,1,19,3,124,17
3/10/20,538,28,0,49,106,13,48,4,14,26,1,5,24,37,8,43,1,9,2,126,15
3/11/20,570,35,1,63,101,15,58,2,16,29,0,2,16,38,4,45,3,12,1,153,10
3/12/20,602,31,0,60,132,17,58,4,25,39,0,5,22,41,5,50,9,12,3,108,13
3/13/20,639,43,3,52,130,22,81,5,14,34,1,4,23,38,1,38,2,28,5,138,18
3/14/20,591,44,0,52,152,18,60,6,16,22,0,5,36,33,4,27,4,13,5,117,18
3/15/20,538,38,0,44,151,22,64,3,16,20,1,1,16,22,4,30,3,15,6,105,14
3/16/20,492,20,2,48,102,16,49,0,11,24,2,4,19,27,6,35,1,13,4,115,12
3/17/20,537,45,1,48,111,13,63,1,16,26,1,3,19,29,6,42,5,21,0,108,21
3/18/20,502,39,0,52,106,18,64,1,16,16,1,5,25,22,4,34,3,22,4,95,15
3/19/20,440,27,0,38,110,29,50,0,5,18,0,0,32,17,5,24,0,18,1,81,12
3/20/20,454,32,2,39,115,18,76,5,6,25,0,1,18,6,5,24,0,18,0,88,8
3/21/20,417,42,1,54,106,15,53,2,4,20,0,0,18,6,6,24,1,15,1,73,18
3/22/20,351,21,0,29,103,13,45,2,9,18,1,1,7,7,3,22,2,5,1,70,12
3/23/20,356,22,1,31,81,11,59,0,11,16,0,0,11,9,5,21,1,19,2,69,10
3/24/20,402,30,0,42,105,18,53,1,8,26,0,0,12,3,1,28,0,15,0,75,13
3/25/20,408,41,2,44,93,18,59,2,10,21,1,0,18,7,1,27,2,11,4,69,18
3/26/20,405,33,1,48,91,13,43,2,10,20,0,0,19,8,2,23,1,20,3,87,13
3/27/20,392,36,0,38,91,20,53,5,7,15,1,0,15,6,6,27,3,9,1,78,16
3/28/20,450,38,0,38,131,19,52,2,12,22,1,0,23,8,0,22,2,12,1,90,15
3/29/20,477,33,3,38,126,17,71,2,11,15,0,0,17,2,4,28,2,24,4,96,14
3/30/20,416,37,1,39,82,15,70,1,9,17,0,0,16,5,3,32,2,19,2,88,13
3/31/20,353,20,1,35,90,16,40,1,8,15,1,1,21,4,0,17,1,14,2,79,5
