Date,TotalCrimes,GunCrimes,Arson,Assault,Battery,Burglary,CriminalDamage,Criminal Sexual Assault,CriminalTrespass,Deceptive Practoce,Homicide,Interference with Public Officer,Motor Vehicle Theft,Narcotics,Offense Involving Children,OtherOffense,Public Peace Violation,Robbery,SexOffense,Theft,WeaponsViolation
3/5/18,663,26,1,52,125,32,67,3,26,52,1,2,26,47,6,46,2,21,0,144,9
3/6/18,651,24,2,62,114,17,58,2,21,63,1,4,18,41,4,56,3,18,4,153,7
3/7/18,654,38,1,59,97,28,44,0,23,56,1,3,30,49,5,51,8,24,4,157,12
3/8/18,659,41,3,48,119,32,74,5,24,52,2,4,29,36,8,51,3,13,4,125,24
3/9/18,743,40,1,42,118,30,92,9,21,58,0,3,33,43,6,55,5,25,7,167,20
3/10/18,682,47,1,53,151,24,70,4,15,42,3,5,16,42,3,45,3,32,3,155,13
3/11/18,617,44,2,54,143,19,75,4,15,31,2,4,20,36,3,30,4,24,3,132,10
3/12/18,661,37,0,51,117,32,61,1,21,50,0,4,19,35,8,44,3,33,1,163,16
3/13/18,638,23,1,56,120,23,66,2,16,50,1,2,32,34,5,40,1,14,3,154,13
3/14/18,664,31,0,51,136,28,71,1,18,48,0,5,20,46,6,42,8,20,4,144,11
3/15/18,690,40,1,62,129,24,63,2,22,60,0,2,25,37,10,48,1,30,2,161,9
3/16/18,702,35,2,74,118,29,71,5,19,57,2,1,22,50,6,42,7,19,2,157,14
3/17/18,775,30,0,49,184,19,109,9,17,47,3,5,24,47,7,43,4,23,1,167,13
3/18/18,686,43,0,45,159,22,72,3,18,48,2,2,29,34,9,56,3,22,1,143,16
3/19/18,657,41,0,36,126,35,69,2,16,64,0,4,29,40,6,38,1,39,2,136,14
3/20/18,711,32,0,55,117,36,80,3,21,66,1,3,15,46,12,58,7,26,4,151,8
3/21/18,687,28,1,54,131,26,73,5,17,60,2,2,20,36,6,47,7,19,3,159,9
3/22/18,669,23,0,45,95,27,89,2,18,58,1,6,23,39,5,52,2,25,3,160,11
3/23/18,752,41,2,59,133,35,82,2,23,46,3,4,26,57,6,56,3,24,5,169,14
3/24/18,648,43,2,44,134,26,70,4,16,41,0,6,26,28,2,37,3,21,1,163,16
3/25/18,676,39,0,45,163,24,84,4,22,30,1,4,16,43,6,46,4,22,1,141,13
3/26/18,695,34,0,33,119,31,75,5,20,76,0,3,28,40,7,45,4,23,2,169,11
3/27/18,673,28,0,53,122,32,73,3,24,42,0,1,31,32,6,60,1,30,3,148,7
3/28/18,687,37,1,40,125,28,81,4,22,57,0,3,20,52,4,35,7,26,1,160,14
3/29/18,628,29,1,62,92,27,72,4,19,53,2,5,17,40,4,46,3,17,3,146,11
3/30/18,704,42,0,51,108,28,75,4,18,56,0,6,29,35,2,57,6,27,5,176,16
3/31/18,691,44,3,59,128,23,100,4,13,37,0,6,22,39,10,49,2,21,1,152,19
